CUSTOMERID,FIRST_NAME,LAST_NAME,DOB,SSN_LAST4,MARITAL_STATUS,ANNUAL_INCOME,PREFERRED_CONTACT,PHONE_NUMBER,EMAIL,ADDRESS,CITY,STATE,ZIP_CODE,HIGH_NET_WORTH_FLAG,LAST_LOGIN_DATE,FINANCIAL_GOALS,LAST_UPDATED,BRANCH_ID,BRANCH_OFFICER,FINANCIAL_ADVISOR_ID,FINANCIAL_ADVISOR_NAME,CLIENT_ID,ENGAGEMENT_SCORE,FOLLOW_UP_PENDING,FOLLOW_UPS_COMPLETED,FOLLOW_UP_DATE,FINANCIAL_ADVISOR_ID,FINANCIAL_ADVISOR_NAME,ROLE,CUSTOMER_ID,FIRST_NAME,LAST_NAME,ASSET_ID,ASSET_TYPE,ASSET_STATUS,PURCHASE_DATE,PROPERTY_VALUE,HOLDINGID,CLIENTID,INVESTMENTTYPEID,PRODUCTNAME,PRODUCTSYMBOL,SECTOR,QUANTITY,PURCHASEPRICE,MARKETPRICE,VALUE,PURCHASEDATE,DIVIDENDYIELD,RISKLEVEL,ASSETCLASS,ACCOUNTTYPE,BROKERNAME,LASTUPDATED,INVESTMENTID,INVESTMENTTYPE,DESCRIPTION,PRODUCTS_EXAMPLES,WHOBUYS,CUSTOMER_ID,FIRST_NAME,LAST_NAME,EMPLOYEE_ID,EMPLOYER_NAME,JOB_TITLE,START_DATE,PREVIOUS_EMPLOYER,CUSTOMER_ID,FIRST_NAME,LAST_NAME,MARITAL_STATUS,PREVIOUS_MARITAL_STATUS,STATUS_CHANGE_DATE,TRANSACTION_ID,CUSTOMER_ID,TRANSACTION_DATE,TRANSACTION_DESCRIPTION,TRANSACTION_AMOUNT,TRANSACTION_TYPE,BANK_NAME
C0001,Lisa,Doyle,9/9/1987,5976,Married,487002,Phone,3943480547,wvaughn@gmail.com,"593 Lawrence Lock Suite 466, Port Devin, TX 42703",Estradamouth,MI,21930,Yes,24:22.0,Home Purchase,20:55.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,C0001,Lisa,Doyle,A8341,Single Family Home,Owned,3/14/2022,844461,1,C0001,11,Apple Inc.,AAPL,Technology,10,150,175,1750,7/15/2023,0.6,Medium,Equity,Brokerage,Fidelity,7/4/2025,11,Stocks (Equities),Direct ownership in companies,"Apple (AAPL), Microsoft (MSFT), Tesla (TSLA)","Growth investors, traders",C0001,Lisa,Doyle,E24949,TechCorp,Operations Manager,5/1/2022,HealthPlus,C0001,Lisa,Doyle,Married,Divorced,4/20/2020,T10088,C0001,12/1/2024,SSA Retirement Benefit - March 2025,4318.95,Debit,Wells Fargo
C0001,Lisa,Doyle,9/9/1987,5976,Married,487002,Phone,3943480547,wvaughn@gmail.com,"593 Lawrence Lock Suite 466, Port Devin, TX 42703",Estradamouth,MI,21930,Yes,24:22.0,Home Purchase,20:55.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,C0001,Lisa,Doyle,A8341,Single Family Home,Owned,3/14/2022,844461,1,C0001,11,Apple Inc.,AAPL,Technology,10,150,175,1750,7/15/2023,0.6,Medium,Equity,Brokerage,Fidelity,7/4/2025,11,Stocks (Equities),Direct ownership in companies,"Apple (AAPL), Microsoft (MSFT), Tesla (TSLA)","Growth investors, traders",C0001,Lisa,Doyle,E24949,TechCorp,Operations Manager,5/1/2022,HealthPlus,C0001,Lisa,Doyle,Married,Divorced,4/20/2020,T10833,C0001,4/5/2024,Pension Fund Deposit,6315.19,Credit,Citibank
C0002,Henry,Lee,7/10/1971,5853,Divorced,269699,SMS,033.506.3819,dcruz@hotmail.com,"37921 Kelsey Plains Suite 552, Lake Lindseytown, NY 28420",Daisyside,MI,55200,Yes,32:33.0,Emergency Fund,40:29.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,C0002,Henry,Lee,A6110,Townhouse,Mortgaged,1/24/2023,668768,2,C0002,6,Vanguard S&P 500 ETF,VOO,Index Fund,5,400,415,2075,7/16/2023,1.2,Low,Equity,IRA,Vanguard,7/5/2025,6,Exchange-Traded Funds (ETFs),Index-based funds traded like stocks,"SPDR S&P 500 (SPY), Invesco QQQ (QQQ)","Passive investors, cost-conscious",C0002,Henry,Lee,E27557,FinanceInc,Software Engineer,11/1/2022,TechCorp,C0002,Henry,Lee,Widowed,Married,10/17/2020,T10072,C0002,4/8/2024,Baby Products Purchase - Walmart,8880.93,Credit,Chase
C0002,Henry,Lee,7/10/1971,5853,Divorced,269699,SMS,033.506.3819,dcruz@hotmail.com,"37921 Kelsey Plains Suite 552, Lake Lindseytown, NY 28420",Daisyside,MI,55200,Yes,32:33.0,Emergency Fund,40:29.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,C0002,Henry,Lee,A6110,Townhouse,Mortgaged,1/24/2023,668768,2,C0002,6,Vanguard S&P 500 ETF,VOO,Index Fund,5,400,415,2075,7/16/2023,1.2,Low,Equity,IRA,Vanguard,7/5/2025,6,Exchange-Traded Funds (ETFs),Index-based funds traded like stocks,"SPDR S&P 500 (SPY), Invesco QQQ (QQQ)","Passive investors, cost-conscious",C0002,Henry,Lee,E27557,FinanceInc,Software Engineer,11/1/2022,TechCorp,C0002,Henry,Lee,Widowed,Married,10/17/2020,T10664,C0002,7/27/2024,Government Child Benefit Deposit,22017.39,Debit,Capital One
C0002,Henry,Lee,7/10/1971,5853,Divorced,269699,SMS,033.506.3819,dcruz@hotmail.com,"37921 Kelsey Plains Suite 552, Lake Lindseytown, NY 28420",Daisyside,MI,55200,Yes,32:33.0,Emergency Fund,40:29.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,C0002,Henry,Lee,A6110,Townhouse,Mortgaged,1/24/2023,668768,2,C0002,6,Vanguard S&P 500 ETF,VOO,Index Fund,5,400,415,2075,7/16/2023,1.2,Low,Equity,IRA,Vanguard,7/5/2025,6,Exchange-Traded Funds (ETFs),Index-based funds traded like stocks,"SPDR S&P 500 (SPY), Invesco QQQ (QQQ)","Passive investors, cost-conscious",C0002,Henry,Lee,E27557,FinanceInc,Software Engineer,11/1/2022,TechCorp,C0002,Henry,Lee,Widowed,Married,10/17/2020,T11256,C0002,9/3/2024,HR Onboarding Bonus,19334.32,Credit,Chase
C0002,Henry,Lee,7/10/1971,5853,Divorced,269699,SMS,033.506.3819,dcruz@hotmail.com,"37921 Kelsey Plains Suite 552, Lake Lindseytown, NY 28420",Daisyside,MI,55200,Yes,32:33.0,Emergency Fund,40:29.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,C0002,Henry,Lee,A6110,Townhouse,Mortgaged,1/24/2023,668768,2,C0002,6,Vanguard S&P 500 ETF,VOO,Index Fund,5,400,415,2075,7/16/2023,1.2,Low,Equity,IRA,Vanguard,7/5/2025,6,Exchange-Traded Funds (ETFs),Index-based funds traded like stocks,"SPDR S&P 500 (SPY), Invesco QQQ (QQQ)","Passive investors, cost-conscious",C0002,Henry,Lee,E27557,FinanceInc,Software Engineer,11/1/2022,TechCorp,C0002,Henry,Lee,Widowed,Married,10/17/2020,T11864,C0002,8/9/2024,Pension Fund Deposit,39480.25,Credit,Chase
C0003,Sarah,Anderson,8/11/2004,3089,Widowed,374108,Email,+1-493-040-7887x18613,billyhorn@gmail.com,"51229 Newman Parkway, Stephenmouth, SD 56221",North Nicoleland,GA,50170,Yes,06:24.0,Emergency Fund,54:02.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,C0003,Sarah,Anderson,A1632,Condo,Owned,1/10/2020,253748,3,C0003,8,Fidelity Growth Fund,FGRFX,Growth,100,50,55,5500,7/17/2023,1.5,Medium,Equity,Roth IRA,Fidelity,7/6/2025,8,Mutual Funds,Pooled funds managed by professionals,"Vanguard S&P 500 (VFIAX), Fidelity Contrafund (FCNTX)","Retirement savers, 401(k)",C0003,Sarah,Anderson,E10840,GovSector,Consultant,12/14/2024,AutoMotive,C0003,Sarah,Anderson,Single,Married,12/13/2021,T10871,C0003,12/4/2024,Baby Products Purchase - Walmart,35953.54,Credit,Bank of America
C0004,Anthony,Wallace,8/4/1945,7069,Single,80696,Email,001-821-393-1038,thaynes@allen.net,"7300 Dawn Park, Luischester, OK 33004",Stephaniefurt,IL,46857,No,12:07.0,Investment Growth,27:53.0,B102,BO_4,FA016,Charlotte Scott,C0004,81,0,1,11/28/2024,FA016,Charlotte Scott,Financial Advisor,C0004,Anthony,Wallace,A3915,Multi-Family Home,Owned,7/28/2021,484349,4,C0004,3,US Treasury 10-Year,T-Bill,Government,2,980,995,1990,7/18/2023,2.5,Low,Fixed income,401k,Charles Schwab,7/7/2025,3,Bonds (Fixed Income),Debt securities with periodic interest payments,"U.S. Treasury Bonds, Apple Corporate Bonds","Retirees, conservative investors",C0004,Anthony,Wallace,E75582,AutoMotive,HR Specialist,6/23/2023,TechCorp,C0004,Anthony,Wallace,Divorced,Married,12/8/2024,T10417,C0004,7/27/2024,Pension Fund Deposit,35430.06,Credit,Capital One
C0004,Anthony,Wallace,8/4/1945,7069,Single,80696,Email,001-821-393-1038,thaynes@allen.net,"7300 Dawn Park, Luischester, OK 33004",Stephaniefurt,IL,46857,No,12:07.0,Investment Growth,27:53.0,B102,BO_4,FA016,Charlotte Scott,C0004,81,0,1,11/28/2024,FA016,Charlotte Scott,Financial Advisor,C0004,Anthony,Wallace,A3915,Multi-Family Home,Owned,7/28/2021,484349,4,C0004,3,US Treasury 10-Year,T-Bill,Government,2,980,995,1990,7/18/2023,2.5,Low,Fixed income,401k,Charles Schwab,7/7/2025,3,Bonds (Fixed Income),Debt securities with periodic interest payments,"U.S. Treasury Bonds, Apple Corporate Bonds","Retirees, conservative investors",C0004,Anthony,Wallace,E75582,AutoMotive,HR Specialist,6/23/2023,TechCorp,C0004,Anthony,Wallace,Divorced,Married,12/8/2024,T10691,C0004,4/11/2024,Mortgage Loan Disbursement,16824.57,Credit,Bank of America
C0004,Anthony,Wallace,8/4/1945,7069,Single,80696,Email,001-821-393-1038,thaynes@allen.net,"7300 Dawn Park, Luischester, OK 33004",Stephaniefurt,IL,46857,No,12:07.0,Investment Growth,27:53.0,B102,BO_4,FA016,Charlotte Scott,C0004,81,0,1,11/28/2024,FA016,Charlotte Scott,Financial Advisor,C0004,Anthony,Wallace,A3915,Multi-Family Home,Owned,7/28/2021,484349,4,C0004,3,US Treasury 10-Year,T-Bill,Government,2,980,995,1990,7/18/2023,2.5,Low,Fixed income,401k,Charles Schwab,7/7/2025,3,Bonds (Fixed Income),Debt securities with periodic interest payments,"U.S. Treasury Bonds, Apple Corporate Bonds","Retirees, conservative investors",C0004,Anthony,Wallace,E75582,AutoMotive,HR Specialist,6/23/2023,TechCorp,C0004,Anthony,Wallace,Divorced,Married,12/8/2024,T11343,C0004,1/21/2025,House Renovation - Home Depot,16314.18,Credit,Bank of America
